bill_id,proposed_date,bill_name
1906251,2013-08-02,성매매방지 및 피해자보호 등에 관한 법률 일부개정법률안
1906253,2013-08-02,법령정보 표시 촉진에 관한 법률안
1904486,2013-04-11,부가가치세법 일부개정법률안
1904565,2013-04-18,2013년도 주택금융신용보증기금운용계획변경안
1902321,2012-10-29,국회의원(김광진) 징계안
1900343,2012-06-27,다문화가족지원법 일부개정법률안
1903652,2013-02-07,휴회의 건
1906260,2013-08-02,화장품법 일부개정법률안
1906265,2013-08-02,약사법 일부개정법률안
1906241,2013-08-01,근로기준법 일부개정법률안
1906242,2013-08-01,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안
1906243,2013-08-01,상공회의소법 일부개정법률안
1906236,2013-08-01,형의 집행 및 수용자의 처우에 관한 법률 일부개정법률안
1903844,2013-02-22,정봉주 전 국회의원 복권 촉구 결의안
1906235,2013-08-01,조세특례제한법 일부개정법률안
1918492,2016-01-26,국회의원(이병석) 체포동의안
1906239,2013-08-01,인삼산업법 일부개정법률안
1906245,2013-08-01,오존층보호를 위한 특정물질의 제조규제 등에 관한 법률 일부개정법률안
1901795,2012-09-13,법인세법 일부개정법률안
1906238,2013-08-01,지방자치단체를 당사자로 하는 계약에 관한 법률 일부개정법률안
1906244,2013-08-01,향토예비군 설치법 일부개정법률안
1906246,2013-08-01,각급 법원의 설치와 관할구역에 관한 법률 일부개정법률안
1906247,2013-08-01,국제항해선박 및 항만시설의 보안에 관한 법률 일부개정법률안
1906252,2013-08-02,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안
1906269,2013-08-05,낚시 관리 및 육성법 일부개정법률안
1906276,2013-08-05,국민기초생활 보장법 일부개정법률안
1906271,2013-08-05,환경개선비용 부담법 일부개정법률안
1906272,2013-08-05,부정청탁 금지 및 공직자의 이해충돌 방지법안
1906273,2013-08-05,중소기업창업 지원법 일부개정법률안
1906277,2013-08-06,국세징수법 일부개정법률안
1902480,2012-11-07,지방세특례제한법 일부개정법률안
1906286,2013-08-06,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
1906283,2013-08-06,민법 일부개정법률안
1904920,2013-05-10,주택법 일부개정법률안
1906290,2013-08-07,국가재정법 일부개정법률안
1906295,2013-08-07,국가정보원법 전부개정법률안
1903615,2013-02-05,이중상환청구권부 채권 발행에 관한 법률안
ZZ19079,2013-09-03,독립기념관 이사 지명의 건
1906279,2013-08-06,자유무역협정 체결에 따른 농어업인 등의 지원에 관한 특별법 일부개정법률안
1904324,2013-03-29,지방세외수입금의 징수 등에 관한 법률안
1906278,2013-08-06,민사집행법 일부개정법률안
1906261,2013-08-02,정당법 일부개정법률안
1906249,2013-08-02,2006 해사노동협약 비준동의안
1906256,2013-08-02,여성발전기본법 일부개정법률안
1906284,2013-08-06,국가재정법 일부개정법률안
1905784,2013-07-01,식생활교육지원법 일부개정법률안(대안)
1905796,2013-07-02,은행법 일부개정법률안(대안)
1906268,2013-08-05,환경정책기본법 일부개정법률안
1903663,2013-02-07,금융실명거래 및 비밀보장에 관한 법률 일부개정법률안
1905787,2013-07-01,전기통신사업법 일부개정법률안(대안)
1905801,2013-07-02,관세법 일부개정법률안(대안)
1905807,2013-07-02,금융지주회사법 일부개정법률안(위원회안)
1905804,2013-07-02,표시·광고의 공정화에 관한 법률 일부개정법률안(대안)
1906250,2013-08-02,조세특례제한법 일부개정법률안
1904874,2013-05-08,국가공무원법 일부개정법률안
1906281,2013-08-06,국민건강증진법 일부개정법률안
1906257,2013-08-02,청소년 보호법 일부개정법률안
1905811,2013-07-02,공직선거법 일부개정법률안(대안)
1906217,2013-07-30,국어기본법 일부개정법률안
1906285,2013-08-06,방송법 일부개정법률안
1905802,2013-07-02,국가를 당사자로 하는 계약에 관한 법률 일부개정법률안(대안)
1900055,2012-05-31,2011회계연도 결산
1906258,2013-08-02,청년고용촉진 특별법 일부개정법률안
1906267,2013-08-05,국가균형발전 특별법 일부개정법률안
1906264,2013-08-02,식품산업진흥법 일부개정법률안
1904430,2013-04-08,한국농어촌공사 및 농지관리기금법 일부개정법률안
1900001,2012-05-30,발달장애인 지원 및 권리보장에 관한 법률안
1906289,2013-08-06,근로기준법 일부개정법률안
1903152,2012-12-28,민·군겸용기술사업 촉진법 일부개정법률안
1906275,2013-08-05,감사원법 일부개정법률안
1906254,2013-08-02,정부조직법 일부개정법률안
1905806,2013-07-02,독점규제 및 공정거래에 관한 법률 일부개정법률안(대안)
1906266,2013-08-02,의료기기법 일부개정법률안
1906218,2013-07-30,초·중등교육법 일부개정법률안
1906262,2013-08-02,건강기능식품에 관한 법률 일부개정법률안
1906263,2013-08-02,식품위생법 일부개정법률안
1905803,2013-07-02,노인장기요양보험법 일부개정법률안(대안)
1906255,2013-08-02,행정절차법 일부개정법률안
1906282,2013-08-06,자동차관리법 일부개정법률안
1904168,2013-03-20,지방공무원 교육훈련법 일부개정법률안
1906259,2013-08-02,농림수산업자 신용보증법 일부개정법률안
1905786,2013-07-01,가축전염병예방법 일부개정법률안(대안)
1905817,2013-07-02,다문화가족지원법 일부개정법률안(대안)
1906287,2013-08-06,도시공원 및 녹지 등에 관한 법률 일부개정법률안
1903538,2013-01-31,개인정보 보호법 일부개정법률안
1905770,2013-07-01,노인장기요양보험법 일부개정법률안
1906280,2013-08-06,조세특례제한법 일부개정법률안
1904393,2013-04-05,철도건설법 일부개정법률안
1906288,2013-08-06,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
1906292,2013-08-07,국유재산특례제한법 일부개정법률안
1906302,2013-08-08,도로교통법 일부개정법률안
1904459,2013-04-09,국가 사이버테러 방지에 관한 법률안
1906308,2013-08-08,아동복지법 일부개정법률안
1906307,2013-08-08,경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안
1906309,2013-08-08,국가정보원 댓글 의혹 사건 등의 진상규명을 위한 국정조사특별위원회 활동기간 연장의 건
1906314,2013-08-09,공중방역수의사에 관한 법률 일부개정법률안
1901250,2012-08-22,공공기관의 운영에 관한 법률 일부개정법률안
1906626,2013-09-02,제320회국회(정기회) 회기결정의 건
1906305,2013-08-08,선거관리위원회법 일부개정법률안
1903349,2013-01-17,저작권법 일부개정법률안
1906304,2013-08-08,사립학교법 일부개정법률안
1906291,2013-08-07,노숙인 등의 복지 및 자립지원에 관한 법률 일부개정법률안
1906298,2013-08-08,취업 후 학자금 상환 특별법 일부개정법률안
1906274,2013-08-05,스포츠산업 진흥법 일부개정법률안
1906294,2013-08-07,청소년활동진흥법 일부개정법률안
1906299,2013-08-08,모자보건법 일부개정법률안
1906296,2013-08-08,한국장학재단 설립 등에 관한 법률 일부개정법률안
1906306,2013-08-08,협동연구개발촉진법 전부개정법률안
