person_id,name,party,start_date,end_date
19461137,주영순,새누리당,,2012-04
19601167,강기윤,새누리당,,2012-04
19521135,한기호,한나라당,2012-02,2010-07
19521135,한기호,새누리당,,2012-02
19481132,김광림,무소속,,2008-04
19481132,김광림,한나라당,2012-02,2008-07
19481132,김광림,새누리당,,2012-02
19521151,김용익,민주통합당,,2012-04
19561109,홍일표,한나라당,2012-02,2008-04
19561109,홍일표,새누리당,,2012-02
1971214,김희정,한나라당,,2004-04
1971214,김희정,새누리당,,2012-04
1965191,김태년,열린우리당,2007-08,2004-04
1965191,김태년,대통합민주신당,2008-02,2007-08
1965191,김태년,통합민주당,2008-05,2008-02
1965191,김태년,민주통합당,,2012-04
19521154,박병석,새정치국민회의,2000-01,1998-04
19521154,박병석,새천년민주당,2003-09,2000-01
19521154,박병석,열린우리당,2007-07,2003-11
19521154,박병석,무소속,,2007-07
19521154,박병석,대통합민주신당,2008-02,2007-08
19521154,박병석,통합민주당,2008-07,2008-02
19521154,박병석,민주당,2011-12,2008-07
19521154,박병석,민주통합당,,2011-12
19421168,박지원,민주당,1995-08,1992-03
19421168,박지원,무소속,,2008-04
19421168,박지원,민주당,2011-12,2008-08
19421168,박지원,민주통합당,,2011-12
1971140,정호준,민주통합당,,2012-04
1959214,심상정,민주노동당,2008-03,2004-04
1959214,심상정,진보신당,2011-09,2008-03
1959214,심상정,통합진보당,,2012-04
19531106,신동우,새누리당,,2012-04
19551153,홍문종,민주자유당,1996-02,
19551153,홍문종,신한국당,1997-11,1996-02
19551153,홍문종,한나라당,1998-08,1997-11
19551153,홍문종,새정치국민회의,2000-01,1998-11
19551153,홍문종,새천년민주당,2000-03,2000-01
19551153,홍문종,무소속,,2000-03
19551153,홍문종,한나라당,2004-05,2003-04
19551153,홍문종,새누리당,,2012-04
19591136,조명철,새누리당,,2012-04
19611128,심학봉,새누리당,,2012-04
19451101,조현룡,새누리당,,2012-04
196529,한정애,민주통합당,,2012-04
19571101,이종걸,새천년민주당,2003-09,
19571101,이종걸,열린우리당,2007-02,2003-11
19571101,이종걸,무소속,,2007-02
19571101,이종걸,대통합민주신당,2008-02,2007-08
19571101,이종걸,통합민주당,2008-07,2008-02
19571101,이종걸,민주당,2011-12,2008-07
19571101,이종걸,민주통합당,,2011-12
19491114,고희선,한나라당,2008-05,2007-04
19491114,고희선,새누리당,,2012-04
19461132,윤진식,한나라당,2012-02,2010-07
19461132,윤진식,새누리당,,2012-02
1954216,신경림,새누리당,,2012-04
1969210,민현주,새누리당,,2012-04
1967149,김영우,한나라당,2012-02,2008-04
1967149,김영우,새누리당,,2012-02
1951198,이용섭,통합민주당,2008-07,2008-04
1951198,이용섭,민주당,2011-12,2008-07
1951198,이용섭,민주통합당,,2011-12
19611119,염동열,새누리당,,2012-04
1953215,인재근,민주통합당,,2012-04
19581103,유승민,한나라당,2012-02,2004-04
19581103,유승민,새누리당,,2012-02
19631112,김태흠,새누리당,,2012-04
1968141,홍지만,새누리당,,2012-04
19581115,전하진,새누리당,,2012-04
19541122,김성찬,새누리당,,2012-04
19551127,이채익,새누리당,,2012-04
19551143,최경환,한나라당,2012-02,2004-04
